market,variety,arrival_date,arrivals_mt,minimum_price,maximum_price,modal_price,lag_1,lag_7,rolling_mean_7,rolling_mean_14,rolling_std_7,rolling_std_14,price_change_1,price_change_7,price_vs_rolling_7,price_vs_rolling_14,month,day_of_week,target_date,target_modal_price_7d
Banaganapalli APMC,Sona Mahsuri,2021-01-15,1.0,1950.0,2050.0,2000.0,2000.0,1950.0,1992.857142857143,1971.4285714285716,18.898223650461368,25.67762955065473,0.0,50.0,1.003584229390681,1.0144927536231885,1,4,2021-01-22,2000.0
Banaganapalli APMC,Sona Mahsuri,2021-01-16,1.0,1950.0,2050.0,2000.0,2000.0,2000.0,2000.0,1975.0,0.0,25.943726083138465,0.0,0.0,1.0,1.0126582278481011,1,5,2021-01-23,2000.0
Banaganapalli APMC,Sona Mahsuri,2021-01-17,1.0,1900.0,2000.0,1950.0,2000.0,2000.0,2000.0,1978.571428571429,0.0,25.677629550654668,-50.0,-50.0,0.975,0.9855595667870036,1,6,2021-01-24,2000.0
Banaganapalli APMC,Sona Mahsuri,2021-01-18,1.0,1900.0,2000.0,1950.0,1950.0,2000.0,1992.857142857143,1978.571428571429,18.898223650461368,25.677629550654668,0.0,-50.0,0.978494623655914,0.9855595667870036,1,0,2021-01-25,1970.0
Banaganapalli APMC,Sona Mahsuri,2021-01-19,1.0,1900.0,2050.0,1950.0,1950.0,2000.0,1985.7142857142856,1978.571428571429,24.397501823713355,25.677629550654668,0.0,-50.0,0.9820143884892086,0.9855595667870036,1,1,2021-01-26,1970.0
Rajahmundry APMC,Paddy,2021-01-19,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,2021-01-26,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-19,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,2021-01-26,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-20,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,2021-01-27,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-20,1.0,1900.0,2000.0,1950.0,1950.0,2000.0,1978.571428571429,1978.571428571429,26.726124191242494,25.677629550654668,0.0,-50.0,0.9855595667870036,0.9855595667870036,1,2,2021-01-27,1970.0
Rajahmundry APMC,Paddy,2021-01-20,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,2021-01-27,1868.0
