market,variety,arrival_date,arrivals_mt,minimum_price,maximum_price,modal_price,lag_1,lag_7,rolling_mean_7,rolling_mean_14,rolling_std_7,rolling_std_14,price_change_1,price_change_7,price_vs_rolling_7,price_vs_rolling_14,month,day_of_week,target_modal_price
Banaganapalli APMC,Sona Mahsuri,2021-01-15,1.0,1950.0,2050.0,2000.0,2000.0,1950.0,1992.857142857143,1971.4285714285713,18.898223650461368,25.67762955065473,0.0,50.0,1.003584229390681,1.0144927536231885,1,4,2000.0
Banaganapalli APMC,Sona Mahsuri,2021-01-16,1.0,1950.0,2050.0,2000.0,2000.0,2000.0,2000.0,1975.0,0.0,25.943726083138465,0.0,0.0,1.0,1.0126582278481013,1,5,1950.0
Banaganapalli APMC,Sona Mahsuri,2021-01-17,1.0,1900.0,2000.0,1950.0,2000.0,2000.0,2000.0,1978.5714285714287,0.0,25.677629550654668,-50.0,-50.0,0.975,0.9855595667870035,1,6,1950.0
Banaganapalli APMC,Sona Mahsuri,2021-01-18,1.0,1900.0,2000.0,1950.0,1950.0,2000.0,1992.857142857143,1978.5714285714287,18.898223650461368,25.677629550654668,0.0,-50.0,0.978494623655914,0.9855595667870035,1,0,1950.0
Banaganapalli APMC,Sona Mahsuri,2021-01-19,1.0,1900.0,2050.0,1950.0,1950.0,2000.0,1985.7142857142858,1978.5714285714287,24.397501823713355,25.677629550654668,0.0,-50.0,0.9820143884892086,0.9855595667870035,1,1,1950.0
Rajahmundry APMC,Paddy,2021-01-19,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-19,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-20,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-20,1.0,1900.0,2000.0,1950.0,1950.0,2000.0,1978.5714285714287,1978.5714285714287,26.726124191242498,25.677629550654668,0.0,-50.0,0.9855595667870035,0.9855595667870035,1,2,1950.0
Rajahmundry APMC,Paddy,2021-01-20,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-20,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-21,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-21,1.0,1900.0,2050.0,1950.0,1950.0,2000.0,1971.4285714285713,1978.5714285714287,26.726124191242498,25.677629550654668,0.0,-50.0,0.9891304347826088,0.9855595667870035,1,3,2000.0
Rajahmundry APMC,Paddy,2021-01-21,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-21,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-22,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,4,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-22,1.0,1950.0,2050.0,2000.0,1950.0,2000.0,1964.2857142857142,1978.5714285714287,24.397501823713355,25.677629550654668,50.0,0.0,1.0181818181818183,1.0108303249097472,1,4,2000.0
Rajahmundry APMC,Paddy,2021-01-22,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,4,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-22,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,4,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-23,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-23,1.0,1950.0,2050.0,2000.0,2000.0,2000.0,1964.2857142857142,1982.142857142857,24.397501823713355,24.86225790494221,0.0,0.0,1.0181818181818183,1.009009009009009,1,5,2000.0
Rajahmundry APMC,Paddy,2021-01-23,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-23,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-24,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,6,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-24,1.0,1950.0,2050.0,2000.0,2000.0,1950.0,1964.2857142857142,1982.142857142857,24.397501823713355,24.86225790494221,0.0,50.0,1.0181818181818183,1.009009009009009,1,6,1970.0
Rajahmundry APMC,Paddy,2021-01-24,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,6,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-24,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,6,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-25,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-25,1.0,1900.0,2050.0,1970.0,2000.0,1950.0,1971.4285714285713,1982.142857142857,26.726124191242498,24.86225790494221,-30.0,20.0,0.9992753623188406,0.9938738738738739,1,0,1970.0
Rajahmundry APMC,Paddy,2021-01-25,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-25,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-26,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-26,1.0,1900.0,2050.0,1970.0,1970.0,1950.0,1974.2857142857142,1980.0,25.071326821120415,24.494897427831663,0.0,20.0,0.9978292329956585,0.9949494949494949,1,1,1970.0
Rajahmundry APMC,Paddy,2021-01-26,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-26,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-27,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-27,1.0,1900.0,2050.0,1970.0,1970.0,1950.0,1977.142857142857,1977.857142857143,22.886885410853257,23.916062008157144,0.0,20.0,0.9963872832369942,0.9960274467316721,1,2,2000.0
Rajahmundry APMC,Paddy,2021-01-27,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-27,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-28,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-28,1.0,1900.0,2100.0,2000.0,1970.0,1950.0,1980.0,1975.7142857142858,20.000000000000103,23.109866595589228,30.0,50.0,1.0101010101010102,1.0122921185827911,1,3,2000.0
Rajahmundry APMC,Paddy,2021-01-28,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-28,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-29,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,4,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-29,1.0,1900.0,2100.0,2000.0,2000.0,2000.0,1987.142857142857,1975.7142857142858,16.035674514745704,23.109866595589228,0.0,0.0,1.00647016534867,1.0122921185827911,1,4,2000.0
Rajahmundry APMC,Paddy,2021-01-29,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,4,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-29,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,4,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-30,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-30,1.0,1900.0,2100.0,2000.0,2000.0,2000.0,1987.142857142857,1975.7142857142858,16.035674514745704,23.109866595589228,0.0,0.0,1.00647016534867,1.0122921185827911,1,5,2000.0
Rajahmundry APMC,Paddy,2021-01-30,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-30,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-31,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,6,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-31,1.0,1900.0,2050.0,2000.0,2000.0,2000.0,1987.142857142857,1975.7142857142858,16.035674514745704,23.109866595589228,0.0,0.0,1.00647016534867,1.0122921185827911,1,6,2000.0
Rajahmundry APMC,Paddy,2021-01-31,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,6,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-31,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,6,1888.0
Banaganapalli APMC,Sona Mahsuri,2021-02-01,1.0,1900.0,2100.0,2000.0,2000.0,1970.0,1987.142857142857,1979.2857142857142,16.035674514745704,22.689979392567967,0.0,30.0,1.00647016534867,1.0104655359076147,2,0,2000.0
Rajahmundry APMC,Paddy,2021-02-01,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-01,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,1888.0
Banaganapalli APMC,Sona Mahsuri,2021-02-02,1.0,1900.0,2100.0,2000.0,2000.0,1970.0,1991.4285714285713,1982.857142857143,14.63850109422833,21.63635524139543,0.0,30.0,1.0043041606886658,1.0086455331412103,2,1,2000.0
Rajahmundry APMC,Paddy,2021-02-02,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-02,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,1888.0
Banaganapalli APMC,Sona Mahsuri,2021-02-03,1.0,1900.0,2100.0,2000.0,2000.0,1970.0,1995.7142857142858,1986.4285714285713,11.33893419027726,19.848325973644055,0.0,30.0,1.0021474588403723,1.00683207479324,2,2,2000.0
Rajahmundry APMC,Paddy,2021-02-03,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-03,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2,1888.0
Banaganapalli APMC,Sona Mahsuri,2021-02-04,1.0,1900.0,2100.0,2000.0,2000.0,2000.0,2000.0,1990.0,0.0,17.097008285301825,0.0,0.0,1.0,1.0050251256281406,2,3,2000.0
