source_id,district,mandal,reservoir,river,present_level_m,present_level_ft,present_capacity_mcum,present_capacity_tmc,frl_m,frl_ft,gross_capacity_mcum,gross_capacity_tmc,storage_percentage,updated_at,source,fetched_at
12067,Alluri Sitharama Raju,Rampachodavaram,Bhupatipalem Reservoir,Seetapallivagu,203.26,666.86,16.86,0.6,204.0,669.29,18.3,0.65,92.3,13/03/26 12:00,AP_DES,2026-08-26T21:16:13.073614
12107,Annamayya,T Sundupalle,Pincha Project,Pincha,300.22,984.97,6.59,0.23,304.8,1000.0,9.28,0.33,69.7,13/03/26 12:00,AP_DES,2026-08-26T21:16:13.073879
12052,Parvathipuram Manyam,Pachipenta,Peddagedda Reservoir,Peddagedda,210.83,691.7,18.11,0.64,213.8,701.44,30.3,1.07,59.8,13/03/26 12:00,AP_DES,2026-08-26T21:16:13.074096
12055,Prakasam,Chimakurthy,Rama Thirtham,NSP canal,81.19,266.37,26.38,0.93,85.34,279.99,44.43,1.57,59.2,13/03/26 12:00,AP_DES,2026-08-26T21:16:13.074256
12074,Alluri Sitharama Raju,Paderu,Pedderu Reservoir,Pedderu,133.91,439.34,6.57,0.23,137.0,449.48,13.4,0.47,48.9,13/03/26 12:00,AP_DES,2026-08-26T21:16:13.074408
12063,Sri Potti Sriramulu Nellore,Lingasamudram,Rallapadu Reservoir,Manneru,38.61,126.67,13.63,0.48,41.15,135.01,31.33,1.11,43.2,13/03/26 12:00,AP_DES,2026-08-26T21:16:13.074767
12102,Annamayya,Thamballapalle,Pedderu Reservoir Project,Pedderu,473.94,1554.92,6.27,0.22,481.5,1579.72,15.86,0.56,39.3,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.075529
12109,Y.S.R,B.Kodur,Lower Sagileru Ani Cut,Sagileru,156.18,512.4,2.8,0.1,156.97,515.0,7.31,0.26,38.5,13/03/26 12:00,AP_DES,2026-08-26T21:16:13.075944
12835,Nandyal,Srisailam,Srisailam,Krishna,257.87,846.03,2034.77,71.85,270.0,885.83,6111.06,215.79,33.3,13/03/26 12:00,AP_DES,2026-08-26T21:16:13.076682
12060,Srikakulam,Jalumuru,Gotta barrage,Vamasadara,36.3,119.09,5.07,0.18,38.1,125.0,18.75,0.66,27.3,13/03/26 12:00,AP_DES,2026-08-26T21:16:13.077341
12066,Kona Seema,Ramachandrapuram,Surempalem Reservoir,Buradakalva,100.44,329.53,1.79,0.06,105.0,344.49,7.93,0.28,21.4,13/03/26 12:00,AP_DES,2026-08-26T21:16:13.077660
12092,Ananthapuramu,Garladinne,Mid Pennar Reservoir,Pennar,352.74,1157.28,22.4,0.79,365.76,1200.0,147.25,5.2,15.2,13/03/26 12:00,AP_DES,2026-08-26T21:16:13.077894
12843,Sri Potti Sriramulu Nellore,Ananthasagaram,Somasila,Pennar,,,,0.0,100.58,329.99,2092.61,73.89,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.078154
12119,Eluru,Chintalapudi,Gonelavagu,Gonelavagu,,,,0.0,108.2,355.0,50.15,1.77,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.078425
12118,Eluru,Pedavegi,Vijayarai Anicut,Tammileru,,,,0.0,31.2,102.36,,0.0,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.078682
12117,Eluru,Chintalapudi,Tammileru Reservoir,Tammileru,,,,0.0,108.2,355.0,31.29,1.1,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.078925
12116,Ananthapuramu,Beluguppa,Jeedipalli Reservoir,,,,,0.0,464.2,1522.97,,0.0,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.079216
12115,Eluru,T.Narasapuram,Yerrakalva Reservoir,Yerrakalva,,,,0.0,83.5,273.95,70.36,2.48,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.079470
12114,Eluru,Buttayagudem,Jalleru Reservoir,Jaller,,,,0.0,217.8,714.57,15.15,0.53,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.079755
12113,Eluru,Polavaram,Kovvadakalva Reservoir,Kovvadakalva,,,,0.0,90.5,296.92,12.35,0.44,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.079994
12112,Y.S.R,Lingala,Chitravati Balancing Reservoir,Chitravati,,,,0.0,298.0,977.69,283.17,10.0,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.080241
12111,Y.S.R,Kondapuram,Gandikota Reservoir,Pennar,,,,0.0,212.0,695.54,760.31,26.85,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.080487
12110,Y.S.R,Badvel,Brahmamsagar Reservoir,TGP,,,,0.0,216.5,710.3,502.2,17.73,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.080690
12108,Annamayya,Rajampet,Annamayya (Cheyyeru) Reservoir,Cheyyeru,,,,0.0,203.6,667.98,63.16,2.23,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.080859
12106,Annamayya,Galiveedu,Veligallu Reservoir,Papagni,,,,0.0,420.0,1377.95,129.12,4.56,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.081029
12105,Y.S.R,Chinthakommadinne,Buggavanka Reservoir,Buggavanka,,,,0.0,186.0,610.24,14.33,0.51,,13/03/26 13:00,AP_DES,2026-08-26T21:16:13.081195
